trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,21,0.0,138038176649000,0.0006108,0.6108
2,21,0.9,138039076508000,0.9004698,0.4698
3,21,1.8,138039976377300,1.8003391,0.3391
4,21,2.7,138040876435600,2.7003974,0.3974
5,21,3.6,138041776359400,3.6003212,0.3212
6,21,4.5,138042676690600,4.5006524,0.6524
7,21,5.4,138043576499200,5.400461,0.461
8,21,6.3,138044476354500,6.3003163,0.3163
9,21,7.2,138045376589000,7.2005508,0.5508
10,21,8.1,138046276592000,8.1005538,0.5538
11,21,9.0,138047176650600,9.0006124,0.6124
12,21,9.9,138048076576100,9.9005379,0.5379
13,21,10.8,138048976373900,10.8003357,0.3357
14,21,11.7,138049876583700,11.7005455,0.5455
15,21,12.6,138050776575300,12.6005371,0.5371
16,21,13.5,138051676551700,13.5005135,0.5135
17,21,14.4,138052576620400,14.4005822,0.5822
18,21,15.3,138053476409500,15.3003713,0.3713
19,22,16.2,138054376578800,16.2005406,0.5406
20,21,17.1,138055276461000,17.1004228,0.4228
21,21,18.0,138056176552800,18.0005146,0.5146
22,22,18.9,138057076445700,18.9004075,0.4075
23,21,19.8,138057976489000,19.8004508,0.4508
24,21,20.7,138058876429200,20.700391,0.391
25,21,21.6,138059776399500,21.6003613,0.3613
26,21,22.5,138060676496000,22.5004578,0.4578
27,22,23.4,138061576490400,23.4004522,0.4522
28,21,24.3,138062476448200,24.30041,0.41
29,21,25.2,138063376561200,25.200523,0.523
30,21,26.1,138064276645300,26.1006071,0.6071
31,21,27.0,138065176513600,27.0004754,0.4754
32,21,27.9,138066076409500,27.9003713,0.3713
33,21,28.8,138066976518700,28.8004805,0.4805
34,22,29.7,138067876595600,29.7005574,0.5574
35,21,30.6,138068776483800,30.6004456,0.4456
36,21,31.5,138069676407300,31.5003691,0.3691
37,22,32.4,138070576584500,32.4005463,0.5463
38,21,33.3,138071476503100,33.3004649,0.464901
39,21,34.2,138072376522200,34.200484,0.484
40,21,35.1,138073276489400,35.1004512,0.4512
41,22,36.0,138074176569400,36.0005312,0.5312
42,21,36.9,138075076576100,36.9005379,0.5379
43,21,37.8,138075976586000,37.8005478,0.5478
44,22,38.7,138076876372200,38.700334,0.334
45,21,39.6,138077776512000,39.6004738,0.4738
46,21,40.5,138078676470100,40.5004319,0.4319
47,21,41.4,138079576680500,41.4006423,0.6423
48,21,42.3,138080476510200,42.300472,0.472
49,21,43.2,138081376696600,43.2006584,0.6584
50,22,44.1,138082276538700,44.1005005,0.5005
51,21,45.0,138083176618300,45.0005801,0.5801
52,21,45.9,138084076454800,45.9004166,0.4166
53,21,46.8,138084976460500,46.8004223,0.4223
54,22,47.7,138085876364200,47.700326,0.326
55,21,48.6,138086776465300,48.6004271,0.4271
56,21,49.5,138087676532300,49.5004941,0.4941
57,21,50.4,138088576540700,50.4005025,0.5025
58,21,51.3,138089476495700,51.3004575,0.4575
59,21,52.2,138090376467300,52.2004291,0.4291
60,22,53.1,138091276478100,53.1004399,0.4399
61,21,54.0,138092176450500,54.0004123,0.4123
62,21,54.9,138093076364700,54.9003265,0.3265
63,21,55.8,138093976563600,55.8005254,0.5254
64,22,56.7,138094876445100,56.7004069,0.4069
65,21,57.6,138095776616900,57.6005787,0.5787
66,21,58.5,138096676433400,58.5003952,0.3952
67,22,59.4,138097576631000,59.4005928,0.5928
68,21,60.3,138098476445000,60.3004068,0.4068
69,21,61.2,138099376431500,61.2003933,0.3933
70,21,62.1,138100276480400,62.1004422,0.4422
71,21,63.0,138101176472300,63.0004341,0.4341
72,22,63.9,138102076358200,63.90032,0.32
73,21,64.8,138102976459000,64.8004208,0.4208
74,21,65.7,138103876472900,65.7004347,0.4347
75,22,66.6,138104776437300,66.6003991,0.399101
76,21,67.5,138105676544300,67.5005061,0.5061
77,21,68.4,138106576412600,68.4003744,0.3744
78,21,69.3,138107476452400,69.3004142,0.4142
79,21,70.2,138108376469000,70.2004308,0.4308
80,21,71.1,138109276442200,71.100404,0.404
81,22,72.0,138110176657400,72.0006192,0.6192
82,21,72.9,138111076507600,72.9004694,0.4694
83,21,73.8,138111976522300,73.8004841,0.4841
84,21,74.7,138112876504500,74.7004663,0.4663
85,21,75.6,138113776484600,75.6004464,0.4464
86,21,76.5,138114676544300,76.5005061,0.5061
87,21,77.4,138115576789100,77.4007509,0.7509
88,22,78.3,138116476492300,78.3004541,0.4541
89,21,79.2,138117376569100,79.2005309,0.5309
90,21,80.1,138118276480700,80.1004425,0.4425
91,21,81.0,138119176408200,81.00037,0.37
92,21,81.9,138120076499500,81.9004613,0.4613
93,22,82.8,138120976606900,82.8005687,0.5687
94,21,83.7,138121876574800,83.7005366,0.5366
95,21,84.6,138122776387300,84.6003491,0.3491
96,21,85.5,138123676506600,85.5004684,0.4684
97,22,86.4,138124576628100,86.4005899,0.5899
98,21,87.3,138125476665500,87.3006273,0.6273
99,21,88.2,138126376609700,88.2005715,0.5715
100,21,89.1,138127276486000,89.1004478,0.4478
101,21,90.0,138128176526000,90.0004878,0.4878
102,21,90.9,138129076688100,90.9006499,0.6499
103,21,91.8,138129976537200,91.800499,0.499
104,22,92.7,138130876805100,92.7007669,0.7669
105,21,93.6,138131776528900,93.6004907,0.4907
106,21,94.5,138132676771400,94.5007332,0.7332
107,21,95.4,138133576599400,95.4005612,0.5612
108,21,96.3,138134476500300,96.3004621,0.4621
109,21,97.2,138135376563200,97.200525,0.525
110,22,98.1,138136276543600,98.1005054,0.5054
111,21,99.0,138137176503200,99.000465,0.465
112,21,99.9,138138076468700,99.9004305,0.4305
113,21,100.8,138138976876800,100.8008386,0.8386
114,21,101.7,138139876460900,101.7004227,0.4227
115,21,102.6,138140776432200,102.600394,0.394
116,22,103.5,138141676384200,103.500346,0.346
117,21,104.4,138142576616500,104.4005783,0.5783
118,21,105.3,138143476493500,105.3004553,0.4553
119,21,106.2,138144376447100,106.2004089,0.4089
120,21,107.1,138145276481100,107.1004429,0.4429
121,21,108.0,138146176571900,108.0005337,0.5337
122,22,108.9,138147076729000,108.9006908,0.6908
123,21,109.8,138147976690900,109.8006527,0.6527
124,21,110.7,138148876672100,110.7006339,0.6339
125,21,111.6,138149776684200,111.600646,0.646
126,21,112.5,138150676923100,112.5008849,0.8849
127,21,113.4,138151576802400,113.4007642,0.7642
128,21,114.3,138152476686800,114.3006486,0.6486
129,22,115.2,138153376722000,115.2006838,0.6838
130,21,116.1,138154276656100,116.1006179,0.6179
131,21,117.0,138155176700000,117.0006618,0.6618
132,22,117.9,138156076404200,117.900366,0.366
133,21,118.8,138156976764100,118.8007259,0.7259
134,21,119.7,138157876518500,119.7004803,0.4803
135,21,120.6,138158776641600,120.6006034,0.6034
