trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,11,0.0,3229131846491200,0.0008073,0.8073
2,11,0.9,3229132746203500,0.9005196,0.5196
3,11,1.8,3229133646066300,1.8003824,0.3824
4,11,2.7,3229134545999400,2.7003155,0.3155
5,11,3.6,3229135446131900,3.600448,0.448
6,11,4.5,3229136346046800,4.5003629,0.3629
7,11,5.4,3229137246137000,5.4004531,0.4531
8,11,6.3,3229138146045000,6.3003611,0.3611
9,11,7.2,3229139046053000,7.2003691,0.3691
10,11,8.1,3229139946128800,8.1004449,0.4449
11,11,9.0,3229140846088800,9.0004049,0.4049
12,11,9.9,3229141746073300,9.9003894,0.3894
13,11,10.8,3229142645991900,10.800308,0.308
14,11,11.7,3229143546177600,11.7004937,0.4937
15,11,12.6,3229144446147200,12.6004633,0.4633
16,11,13.5,3229145346225000,13.5005411,0.5411
17,11,14.4,3229146246013800,14.4003299,0.3299
18,11,15.3,3229147146157000,15.3004731,0.4731
19,12,16.2,3229148046039700,16.2003558,0.3558
20,11,17.1,3229148946028700,17.1003448,0.3448
21,11,18.0,3229149846034900,18.000351,0.351
22,12,18.9,3229150746122700,18.9004388,0.4388
23,11,19.8,3229151646201100,19.8005172,0.5172
24,11,20.7,3229152546057000,20.7003731,0.3731
25,11,21.6,3229153446099400,21.6004155,0.4155
26,11,22.5,3229154346043100,22.5003592,0.3592
27,12,23.4,3229155246090900,23.400407,0.407
28,11,24.3,3229156146108100,24.3004242,0.4242
29,11,25.2,3229157046074100,25.2003902,0.3902
30,11,26.1,3229157946137600,26.1004537,0.4537
31,11,27.0,3229158846034300,27.0003504,0.3504
32,11,27.9,3229159746086400,27.9004025,0.4025
33,11,28.8,3229160646077500,28.8003936,0.3936
34,12,29.7,3229161546003300,29.7003194,0.3194
35,11,30.6,3229162446138700,30.6004548,0.4548
36,11,31.5,3229163346137100,31.5004532,0.4532
37,12,32.4,3229164246025600,32.4003417,0.3417
38,11,33.3,3229165146037100,33.3003532,0.353201
39,11,34.2,3229166046020700,34.2003368,0.3368
40,11,35.1,3229166946013100,35.1003292,0.3292
41,12,36.0,3229167846039200,36.0003553,0.3553
42,11,36.9,3229168746005200,36.9003213,0.3213
43,11,37.8,3229169646296500,37.8006126,0.6126
44,12,38.7,3229170546034400,38.7003505,0.3505
45,11,39.6,3229171446015100,39.6003312,0.3312
46,11,40.5,3229172346020500,40.5003366,0.3366
47,11,41.4,3229173246193700,41.4005098,0.5098
48,11,42.3,3229174146049500,42.3003656,0.3656
49,11,43.2,3229175046154400,43.2004705,0.4705
50,12,44.1,3229175946096700,44.1004128,0.4128
51,11,45.0,3229176846014300,45.0003304,0.3304
52,11,45.9,3229177746001900,45.900318,0.318
53,11,46.8,3229178646024800,46.8003409,0.3409
54,12,47.7,3229179546144600,47.7004607,0.4607
55,11,48.6,3229180446018200,48.6003343,0.3343
56,11,49.5,3229181346041700,49.5003578,0.3578
57,11,50.4,3229182246099700,50.4004158,0.4158
58,11,51.3,3229183146033000,51.3003491,0.3491
59,11,52.2,3229184046194600,52.2005107,0.5107
60,12,53.1,3229184946043200,53.1003593,0.3593
61,11,54.0,3229185846048300,54.0003644,0.3644
62,11,54.9,3229186746237200,54.9005533,0.5533
63,11,55.8,3229187646034400,55.8003505,0.3505
64,12,56.7,3229188546092200,56.7004083,0.4083
65,11,57.6,3229189446047300,57.6003634,0.3634
66,11,58.5,3229190346050400,58.5003665,0.3665
67,12,59.4,3229191246141100,59.4004572,0.4572
68,11,60.3,3229192146100200,60.3004163,0.4163
69,11,61.2,3229193046046000,61.2003621,0.3621
70,11,62.1,3229193946090800,62.1004069,0.4069
71,11,63.0,3229194846076200,63.0003923,0.3923
72,12,63.9,3229195746201000,63.9005171,0.5171
73,11,64.8,3229196646029400,64.8003455,0.3455
74,11,65.7,3229197546047100,65.7003632,0.3632
75,12,66.6,3229198446040600,66.6003567,0.356701
76,11,67.5,3229199346238100,67.5005542,0.5542
77,11,68.4,3229200246126200,68.4004423,0.4423
78,11,69.3,3229201146202400,69.3005185,0.5185
79,11,70.2,3229202046018000,70.2003341,0.3341
80,11,71.1,3229202946087200,71.1004033,0.4033
81,12,72.0,3229203846057900,72.000374,0.374
82,11,72.9,3229204746107600,72.9004237,0.4237
83,11,73.8,3229205646093700,73.8004098,0.4098
84,11,74.7,3229206546021000,74.7003371,0.3371
85,11,75.6,3229207446044500,75.6003606,0.3606
86,11,76.5,3229208346035700,76.5003518,0.3518
87,11,77.4,3229209246118300,77.4004344,0.4344
88,12,78.3,3229210146010600,78.3003267,0.3267
89,11,79.2,3229211046077200,79.2003933,0.3933
90,11,80.1,3229211946030500,80.1003466,0.3466
91,11,81.0,3229212846056900,81.000373,0.373
92,11,81.9,3229213746132700,81.9004488,0.4488
93,12,82.8,3229214646106000,82.8004221,0.4221
94,11,83.7,3229215546190900,83.700507,0.507
95,11,84.6,3229216446208500,84.6005246,0.5246
96,11,85.5,3229217346076600,85.5003927,0.3927
97,12,86.4,3229218246129800,86.4004459,0.4459
98,11,87.3,3229219146045600,87.3003617,0.3617
99,11,88.2,3229220046097300,88.2004134,0.4134
100,11,89.1,3229220946007200,89.1003233,0.3233
101,11,90.0,3229221846195300,90.0005114,0.5114
102,11,90.9,3229222746258300,90.9005744,0.5744
103,11,91.8,3229223646171100,91.8004872,0.4872
104,12,92.7,3229224546011300,92.7003274,0.3274
105,11,93.6,3229225446140000,93.6004561,0.4561
106,11,94.5,3229226346180400,94.5004965,0.4965
107,11,95.4,3229227246051800,95.4003679,0.3679
108,11,96.3,3229228146005400,96.3003215,0.3215
109,11,97.2,3229229046124400,97.2004405,0.4405
110,12,98.1,3229229946197200,98.1005133,0.5133
111,11,99.0,3229230846040200,99.0003563,0.3563
112,11,99.9,3229231746031600,99.9003477,0.3477
113,11,100.8,3229232646129400,100.8004455,0.4455
114,11,101.7,3229233546099200,101.7004153,0.4153
115,11,102.6,3229234446103000,102.6004191,0.4191
116,12,103.5,3229235346208200,103.5005243,0.5243
117,11,104.4,3229236246082400,104.4003985,0.3985
118,11,105.3,3229237146187800,105.3005039,0.5039
119,11,106.2,3229238046058300,106.2003744,0.3744
120,11,107.1,3229238946035200,107.1003513,0.3513
121,11,108.0,3229239846004400,108.0003205,0.3205
122,12,108.9,3229240746064700,108.9003808,0.3808
123,11,109.8,3229241646016900,109.800333,0.333
124,11,110.7,3229242546014700,110.7003308,0.3308
125,11,111.6,3229243446009500,111.6003256,0.3256
126,11,112.5,3229244346042300,112.5003584,0.3584
127,11,113.4,3229245246066800,113.4003829,0.3829
128,11,114.3,3229246145902400,114.3002185,0.2185
129,12,115.2,3229247046013300,115.2003294,0.3294
130,11,116.1,3229247946141300,116.1004574,0.4574
131,11,117.0,3229248846033500,117.0003496,0.3496
132,12,117.9,3229249746021500,117.9003376,0.3376
133,11,118.8,3229250646008600,118.8003247,0.3247
134,11,119.7,3229251546252000,119.7005681,0.5681
135,11,120.6,3229252446144300,120.6004604,0.4604
136,12,121.5,3229253346037700,121.5003538,0.3538
137,11,122.4,3229254246041600,122.4003577,0.3577
138,11,123.3,3229255146046800,123.3003629,0.3629
139,12,124.2,3229256046009000,124.2003251,0.3251
140,11,125.1,3229256946170200,125.1004863,0.4863
141,11,126.0,3229257846039600,126.0003557,0.3557
142,11,126.9,3229258746137300,126.9004534,0.4534
143,11,127.8,3229259646040300,127.8003564,0.3564
144,11,128.7,3229260546070700,128.7003868,0.386801
145,12,129.6,3229261446000600,129.6003167,0.3167
146,11,130.5,3229262346047700,130.5003638,0.3638
147,11,131.4,3229263246020800,131.4003369,0.3369
148,11,132.3,3229264146060900,132.300377,0.377
149,12,133.2,3229265045993600,133.2003097,0.309701
150,11,134.1,3229265946041200,134.1003573,0.3573
151,11,135.0,3229266846027300,135.0003434,0.3434
152,11,135.9,3229267746078500,135.9003946,0.3946
153,11,136.8,3229268646016500,136.8003326,0.3326
154,12,137.7,3229269546175500,137.7004916,0.4916
155,11,138.6,3229270446037000,138.6003531,0.3531
156,11,139.5,3229271346015000,139.5003311,0.3311
157,11,140.4,3229272246023200,140.4003393,0.3393
158,11,141.3,3229273146130300,141.3004464,0.4464
159,11,142.2,3229274046096400,142.2004125,0.4125
160,12,143.1,3229274946076000,143.1003921,0.3921
161,11,144.0,3229275846100800,144.0004169,0.4169
