trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,31,0.0,3230501150340700,0.0006197,0.6197
2,31,0.9,3230502050086900,0.9003659,0.3659
3,31,1.8,3230502950168100,1.8004471,0.4471
4,31,2.7,3230503850041900,2.7003209,0.3209
5,31,3.6,3230504750163400,3.6004424,0.4424
6,31,4.5,3230505650060600,4.5003396,0.3396
7,31,5.4,3230506550102100,5.4003811,0.3811
8,31,6.3,3230507450078300,6.3003573,0.3573
9,31,7.2,3230508350172000,7.200451,0.451
10,31,8.1,3230509250052100,8.1003311,0.3311
11,31,9.0,3230510150099500,9.0003785,0.3785
12,31,9.9,3230511050014900,9.9002939,0.2939
13,31,10.8,3230511950220500,10.8004995,0.4995
14,31,11.7,3230512850124000,11.700403,0.403
15,31,12.6,3230513750066800,12.6003458,0.3458
16,31,13.5,3230514650109900,13.5003889,0.3889
17,31,14.4,3230515550133300,14.4004123,0.4123
18,31,15.3,3230516450049300,15.3003283,0.3283
19,31,16.2,3230517350052800,16.2003318,0.3318
20,31,17.1,3230518250056900,17.1003359,0.3359
21,31,18.0,3230519150059500,18.0003385,0.3385
22,31,18.9,3230520050052500,18.9003315,0.3315
23,31,19.8,3230520950149400,19.8004284,0.4284
24,31,20.7,3230521850092200,20.7003712,0.3712
25,31,21.6,3230522750048900,21.6003279,0.3279
26,31,22.5,3230523650106300,22.5003853,0.3853
27,31,23.4,3230524550183700,23.4004627,0.4627
28,31,24.3,3230525450060700,24.3003397,0.3397
29,31,25.2,3230526350036600,25.2003156,0.3156
30,31,26.1,3230527250069000,26.100348,0.348
31,31,27.0,3230528150095000,27.000374,0.374
32,31,27.9,3230529050172400,27.9004514,0.4514
33,31,28.8,3230529950102300,28.8003813,0.3813
34,31,29.7,3230530850051500,29.7003305,0.3305
35,31,30.6,3230531750065100,30.6003441,0.3441
36,31,31.5,3230532650152200,31.5004312,0.4312
37,31,32.4,3230533550076200,32.4003552,0.3552
38,31,33.3,3230534450048000,33.300327,0.327001
39,31,34.2,3230535350167800,34.2004468,0.4468
40,31,35.1,3230536250175400,35.1004544,0.4544
41,31,36.0,3230537150117400,36.0003964,0.3964
42,31,36.9,3230538050063000,36.900342,0.342
43,31,37.8,3230538950181000,37.80046,0.46
44,31,38.7,3230539850129900,38.7004089,0.4089
45,31,39.6,3230540750088500,39.6003675,0.3675
46,31,40.5,3230541650465300,40.5007443,0.7443
47,31,41.4,3230542550347300,41.4006263,0.6263
48,31,42.3,3230543450178900,42.3004579,0.4579
49,31,43.2,3230544350088100,43.2003671,0.3671
50,31,44.1,3230545250083100,44.1003621,0.3621
51,31,45.0,3230546150264700,45.0005437,0.5437
52,31,45.9,3230547050249500,45.9005285,0.5285
53,31,46.8,3230547950100300,46.8003793,0.3793
54,31,47.7,3230548850230300,47.7005093,0.5093
55,31,48.6,3230549750127600,48.6004066,0.4066
56,31,49.5,3230550650127700,49.5004067,0.4067
57,31,50.4,3230551550066300,50.4003453,0.3453
58,31,51.3,3230552450170400,51.3004494,0.4494
59,31,52.2,3230553350262700,52.2005417,0.5417
60,31,53.1,3230554250060000,53.100339,0.339
61,31,54.0,3230555150077500,54.0003565,0.3565
62,31,54.9,3230556050103600,54.9003826,0.3826
63,31,55.8,3230556950080700,55.8003597,0.3597
64,31,56.7,3230557850060400,56.7003394,0.3394
65,31,57.6,3230558750121900,57.6004009,0.4009
66,31,58.5,3230559650036500,58.5003155,0.3155
67,31,59.4,3230560550034700,59.4003137,0.3137
68,31,60.3,3230561450086600,60.3003656,0.3656
69,31,61.2,3230562350091900,61.2003709,0.3709
70,31,62.1,3230563250168900,62.1004479,0.4479
71,31,63.0,3230564150112500,63.0003915,0.3915
72,31,63.9,3230565050083800,63.9003628,0.3628
73,31,64.8,3230565950100300,64.8003793,0.3793
74,31,65.7,3230566850047700,65.7003267,0.3267
75,31,66.6,3230567750048800,66.6003278,0.327801
76,31,67.5,3230568650051300,67.5003303,0.3303
77,31,68.4,3230569550082700,68.4003617,0.3617
78,31,69.3,3230570450155400,69.3004344,0.4344
79,31,70.2,3230571350205900,70.2004849,0.4849
80,31,71.1,3230572250346800,71.1006258,0.6258
81,31,72.0,3230573150297000,72.000576,0.576
82,31,72.9,3230574050319900,72.9005989,0.5989
83,31,73.8,3230574950223300,73.8005023,0.5023
84,31,74.7,3230575850222500,74.7005015,0.5015
85,31,75.6,3230576750049600,75.6003286,0.3286
86,31,76.5,3230577650147000,76.500426,0.426
87,31,77.4,3230578550266300,77.4005453,0.5453
88,31,78.3,3230579450077000,78.300356,0.356
89,31,79.2,3230580350144800,79.2004238,0.4238
90,31,80.1,3230581250106400,80.1003854,0.3854
91,31,81.0,3230582150169800,81.0004488,0.4488
