trial_index,trigger_code,t_target_s,t_actual_ns,t_actual_s,jitter_ms
1,202,1.0,278931260739000,1.0013183,1.3183
2,202,3.0,278933260023600,3.0006029,0.6029
3,202,5.0,278935259778900,5.0003582,0.3582
4,202,7.0,278937259961400,7.0005407,0.5407
5,202,9.0,278939259796100,9.0003754,0.3754
6,202,11.0,278941260036700,11.000616,0.616
7,202,13.0,278943259852500,13.0004318,0.4318
8,202,15.0,278945259976500,15.0005558,0.5558
9,202,17.0,278947259912400,17.0004917,0.4917
10,202,19.0,278949259869000,19.0004483,0.4483
11,205,24.0,278954259863500,24.0004428,0.4428
12,205,26.0,278956259919000,26.0004983,0.4983
13,205,28.0,278958259900900,28.0004802,0.4802
14,205,30.0,278960259982800,30.0005621,0.5621
15,205,32.0,278962259942000,32.0005213,0.5213
16,205,34.0,278964259883800,34.0004631,0.4631
17,205,36.0,278966259956300,36.0005356,0.5356
18,205,38.0,278968259917300,38.0004966,0.4966
19,205,40.0,278970259980500,40.0005598,0.5598
20,205,42.0,278972259986400,42.0005657,0.5657
1,202,1.0,279525629105700,1.0005571,0.5571
2,202,3.0,279527629142800,3.0005942,0.5942
3,202,5.0,279529629125300,5.0005767,0.5767
4,202,7.0,279531629317200,7.0007686,0.7686
5,202,9.0,279533628956500,9.0004079,0.4079
6,202,11.0,279535628868600,11.00032,0.32
7,202,13.0,279537629001000,13.0004524,0.4524
8,202,15.0,279539629096400,15.0005478,0.5478
9,202,17.0,279541628956400,17.0004078,0.4078
10,202,19.0,279543629006300,19.0004577,0.4577
11,205,24.0,279548628913400,24.0003648,0.3648
12,205,26.0,279550628988500,26.0004399,0.4399
13,205,28.0,279552628992400,28.0004438,0.4438
14,205,30.0,279554629110200,30.0005616,0.5616
15,205,32.0,279556628992400,32.0004438,0.4438
16,205,34.0,279558629102900,34.0005543,0.5543
17,205,36.0,279560629003800,36.0004552,0.4552
18,205,38.0,279562629139000,38.0005904,0.5904
19,205,40.0,279564629133700,40.0005851,0.5851
20,205,42.0,279566629111900,42.0005633,0.5633
1,202,1.0,280603847555500,1.0005302,0.5302
2,202,3.0,280605847494100,3.0004688,0.4688
3,202,5.0,280607847892900,5.0008676,0.8676
4,202,7.0,280609847633500,7.0006082,0.6082
5,202,9.0,280611847468300,9.000443,0.443
6,202,11.0,280613847520600,11.0004953,0.4953
7,202,13.0,280615847611300,13.000586,0.586
8,202,15.0,280617847567400,15.0005421,0.5421
9,202,17.0,280619847454900,17.0004296,0.4296
10,202,19.0,280621847490300,19.000465,0.465
11,205,24.0,280626847600600,24.0005753,0.5753
12,205,26.0,280628847487900,26.0004626,0.4626
13,205,28.0,280630847639800,28.0006145,0.6145
14,205,30.0,280632847634300,30.000609,0.609
15,205,32.0,280634847414600,32.0003893,0.3893
16,205,34.0,280636847593300,34.000568,0.568
17,205,36.0,280638847646800,36.0006215,0.6215
18,205,38.0,280640847491400,38.0004661,0.4661
19,205,40.0,280642847482100,40.0004568,0.4568
20,205,42.0,280644847482500,42.0004572,0.4572
1,202,1.0,280714048069000,1.0004925,0.4925
2,202,3.0,280716048443700,3.0008672,0.8672
3,202,5.0,280718048079600,5.0005031,0.5031
4,202,7.0,280720048256900,7.0006804,0.6804
5,202,9.0,280722048290800,9.0007143,0.7143
6,202,11.0,280724048110200,11.0005337,0.5337
7,202,13.0,280726048070100,13.0004936,0.4936
8,202,15.0,280728048072800,15.0004963,0.4963
9,202,17.0,280730048194200,17.0006177,0.6177
10,202,19.0,280732048150000,19.0005735,0.5735
11,205,24.0,280737047997400,24.0004209,0.4209
12,205,26.0,280739048255300,26.0006788,0.6788
13,205,28.0,280741048272500,28.000696,0.696
14,205,30.0,280743048315300,30.0007388,0.7388
15,205,32.0,280745048122200,32.0005457,0.5457
16,205,34.0,280747048114700,34.0005382,0.5382
17,205,36.0,280749048304300,36.0007278,0.7278
18,205,38.0,280751048283700,38.0007072,0.7072
19,205,40.0,280753048110700,40.0005342,0.5342
20,205,42.0,280755048130600,42.0005541,0.5541
1,202,1.0,300665793009500,1.0003999,0.3999
2,202,3.0,300667792938200,3.0003286,0.3286
3,202,5.0,300669793090800,5.0004812,0.4812
4,202,7.0,300671792987900,7.0003783,0.3783
5,202,9.0,300673793073700,9.0004641,0.4641
6,202,11.0,300675793124200,11.0005146,0.5146
7,202,13.0,300677792992400,13.0003828,0.3828
8,202,15.0,300679793161500,15.0005519,0.5519
9,202,17.0,300681792953200,17.0003436,0.3436
10,202,19.0,300683793027200,19.0004176,0.4176
11,205,24.0,300688792946900,24.0003373,0.3373
12,205,26.0,300690792928600,26.000319,0.319
13,205,28.0,300692793117900,28.0005083,0.5083
14,205,30.0,300694792937700,30.0003281,0.3281
15,205,32.0,300696793012300,32.0004027,0.4027
16,205,34.0,300698792974600,34.000365,0.365
17,205,36.0,300700793089100,36.0004795,0.4795
18,205,38.0,300702793136300,38.0005267,0.5267
19,205,40.0,300704792972100,40.0003625,0.3625
20,205,42.0,300706792976200,42.0003666,0.3666
1,202,1.0,300837742654600,1.0004446,0.4446
2,202,3.0,300839742752500,3.0005425,0.5425
3,202,5.0,300841742692000,5.000482,0.482
4,202,7.0,300843742693200,7.0004832,0.4832
5,202,9.0,300845742654200,9.0004442,0.4442
6,202,11.0,300847742669400,11.0004594,0.4594
7,202,13.0,300849742614400,13.0004044,0.4044
8,202,15.0,300851742628800,15.0004188,0.4188
9,202,17.0,300853742583300,17.0003733,0.3733
10,202,19.0,300855742681600,19.0004716,0.4716
11,205,24.0,300860742664400,24.0004544,0.4544
12,205,26.0,300862742648900,26.0004389,0.4389
13,205,28.0,300864742597800,28.0003878,0.3878
14,205,30.0,300866742749900,30.0005399,0.5399
15,205,32.0,300868742599200,32.0003892,0.3892
16,205,34.0,300870742732000,34.000522,0.522
17,205,36.0,300872742524600,36.0003146,0.3146
18,205,38.0,300874742721600,38.0005116,0.5116
19,205,40.0,300876742731700,40.0005217,0.5217
20,205,42.0,300878742712600,42.0005026,0.5026
1,202,1.0,300893150744400,1.0004192,0.4192
2,202,3.0,300895150894100,3.0005689,0.5689
3,202,5.0,300897150692000,5.0003668,0.3668
4,202,7.0,300899150799400,7.0004742,0.4742
5,202,9.0,300901150843600,9.0005184,0.5184
6,202,11.0,300903150795600,11.0004704,0.4704
