RT60 data saved by REW V5.40 Beta 132
Source: Scarlett 4i4 4th Gen, Scarlett 4i4 4th Gen , 1, volume: no control
Dated: May 22, 2026, 6:02:01 AM
Measurement: rt60_measurement_01
Sweep level: -20.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.016421419 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.9999999999999999 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

63, 1/1, 0.259, -0.964, 0.886, -0.989, 0.981, -0.995, 1.022, -0.998, -11.000, -39.000, 0.000, Forward, 10.34, 13.90, 8.29, 91.5, 0.032
125, 1/1, 0.272, -0.950, 0.474, -0.995, 0.544, -0.995, 0.480, -0.996, -5.000, -27.000, 0.000, Forward, 10.78, 15.54, 7.74, 92.3, 0.019
250, 1/1, 0.053, -0.963, 0.472, -0.986, 0.483, -0.996, 0.487, -0.998, -10.000, -47.000, 0.000, Forward, 13.51, 20.42, 11.72, 95.7, 0.010
500, 1/1, 0.060, -0.942, 0.442, -0.980, 0.423, -0.994, 0.441, -0.997, -10.000, -40.000, 0.000, Forward, 16.40, 20.26, 12.83, 97.8, 0.006
1000, 1/1, 0.043, -0.898, 0.459, -0.986, 0.436, -0.997, 0.482, -0.999, -11.000, -59.000, 0.000, Forward, 17.18, 20.52, 12.55, 98.1, 0.005
2000, 1/1, 0.011, -0.939, 0.334, -0.985, 0.413, -0.991, 0.480, -0.999, -13.000, -60.000, 0.000, Forward, 20.90, 25.03, 14.74, 99.2, 0.003
4000, 1/1, 0.061, -0.731, 0.288, -0.972, 0.375, -0.987, 0.451, -0.999, -14.000, -59.000, 0.000, Forward, 21.46, 25.58, 15.13, 99.3, 0.002
8000, 1/1, 0.003, -0.920, 0.260, -0.994, 0.318, -0.993, 0.393, -0.997, -12.000, -60.000, 0.000, Forward, 22.29, 27.49, 15.47, 99.4, 0.002

full, 1/1, 0.001, -0.962, 0.251, -0.987, 0.331, -0.990, 0.395, -0.996, -14.000, -46.000, 0.000, Forward, 23.68, 28.56, 17.23, 99.6, 0.001

