trial,distance_1,distance_2,correct_response
1,2.0,5.0,1
2,2.0,5.0,1
3,5.0,2.0,2
4,2.0,5.0,1
5,2.0,5.0,1
6,2.0,5.0,1
7,2.0,5.0,1
8,2.0,5.0,1
9,5.0,2.0,2
10,2.0,5.0,1
11,2.0,5.0,1
12,2.0,5.0,1
13,2.0,5.0,1
14,2.0,5.0,1
15,2.0,5.0,1
16,2.0,5.0,1
17,5.0,2.0,2
18,2.0,5.0,1
19,5.0,2.0,2
20,5.0,2.0,2
21,2.0,5.0,1
22,2.0,5.0,1
23,5.0,2.0,2
24,5.0,2.0,2
25,5.0,2.0,2
26,2.0,5.0,1
27,2.0,5.0,1
28,5.0,2.0,2
29,2.0,5.0,1
30,2.0,5.0,1
31,5.0,2.0,2
32,2.0,5.0,1
33,5.0,2.0,2
34,5.0,2.0,2
35,5.0,2.0,2
36,2.0,5.0,1
37,5.0,2.0,2
38,2.0,5.0,1
39,5.0,2.0,2
40,2.0,5.0,1
41,5.0,2.0,2
42,5.0,2.0,2
43,2.0,5.0,1
44,2.0,5.0,1
45,2.0,5.0,1
46,2.0,5.0,1
47,5.0,2.0,2
48,2.0,5.0,1
49,2.0,5.0,1
50,2.0,5.0,1
