trial,distance_1,distance_2,correct_response,response,correct
1,2.0,5.0,1,1,1
2,2.0,5.0,1,2,0
3,5.0,2.0,2,2,1
4,2.0,5.0,1,1,1
5,2.0,5.0,1,1,1
6,2.0,5.0,1,1,1
7,2.0,5.0,1,1,1
8,2.0,5.0,1,1,1
9,5.0,2.0,2,2,1
10,2.0,5.0,1,1,1
11,2.0,5.0,1,1,1
12,2.0,5.0,1,1,1
13,2.0,5.0,1,1,1
14,2.0,5.0,1,1,1
15,2.0,5.0,1,1,1
16,2.0,5.0,1,1,1
17,5.0,2.0,2,2,1
18,2.0,5.0,1,1,1
19,5.0,2.0,2,2,1
20,5.0,2.0,2,2,1
21,2.0,5.0,1,1,1
22,2.0,5.0,1,1,1
23,5.0,2.0,2,2,1
24,5.0,2.0,2,2,1
25,5.0,2.0,2,2,1
26,2.0,5.0,1,1,1
27,2.0,5.0,1,1,1
28,5.0,2.0,2,2,1
29,2.0,5.0,1,1,1
30,2.0,5.0,1,1,1
31,5.0,2.0,2,2,1
32,2.0,5.0,1,1,1
33,5.0,2.0,2,2,1
34,5.0,2.0,2,2,1
35,5.0,2.0,2,2,1
36,2.0,5.0,1,1,1
37,5.0,2.0,2,2,1
38,2.0,5.0,1,1,1
39,5.0,2.0,2,2,1
40,2.0,5.0,1,1,1
41,5.0,2.0,2,2,1
42,5.0,2.0,2,2,1
43,2.0,5.0,1,1,1
44,2.0,5.0,1,1,1
45,2.0,5.0,1,1,1
46,2.0,5.0,1,1,1
47,5.0,2.0,2,2,1
48,2.0,5.0,1,1,1
49,2.0,5.0,1,1,1
50,2.0,5.0,1,1,1
