participant,mmn_A_amp_Fz,mmn_B_amp_Fz,mmn_A_amp_ROI,mmn_B_amp_ROI,mmn_A_fal_ms,mmn_B_fal_ms,p3a_A_amp_Cz,p3a_B_amp_Cz,p3a_A_amp_ROI,p3a_B_amp_ROI,p3a_A_fal_ms,p3a_B_fal_ms,ssa_AC_amp_Fz,ssa_BC_amp_Fz,n_trials_std_A,n_trials_dev_A,n_trials_std_B,n_trials_dev_B,n_trials_ctrl_C
P01,-0.1919,-0.8098,-0.2588,-0.5118,146.0000,198.0000,-0.1870,-0.0013,-0.2086,-0.2808,386.0000,326.0000,0.1105,-0.2366,297,100,296,99,498
P02,0.1273,0.3166,-0.0377,0.3405,146.0000,128.0000,0.1651,-0.0681,0.1178,-0.1202,454.0000,280.0000,0.3185,0.1110,300,98,295,100,499
P03,2.1281,-0.1500,0.6623,-0.7968,,188.0000,0.3307,-0.4644,-0.3435,-0.9760,332.0000,262.0000,1.9030,-0.8445,211,67,214,79,428
P04,2.5406,,0.6628,,,,-0.9298,,-0.2921,,,,2.1360,,300,100,0,0,497
P05,0.1836,,-0.0567,,186.0000,,-0.0760,,-0.0938,,426.0000,,0.3401,,291,98,0,0,491
P06,-0.8017,0.3125,-0.3328,0.5392,190.0000,138.0000,0.2533,0.3961,-0.0326,0.3506,384.0000,328.0000,-0.4588,0.2382,298,99,300,100,480
P07,-0.0421,0.1465,-0.2372,0.0729,236.0000,178.0000,-0.1451,0.4289,-0.2862,-0.0070,330.0000,318.0000,-0.1935,0.4302,299,100,300,99,497
P08,-0.4551,1.0862,-0.3557,0.5608,240.0000,,-0.6780,0.3558,-0.5227,0.6044,,374.0000,-0.2601,1.4045,299,99,297,100,498
P09,0.1725,0.2296,-0.0912,0.1187,280.0000,242.0000,-0.1981,-0.0846,-0.1261,-0.0507,356.0000,312.0000,0.2994,0.3540,300,100,299,99,500
P10,0.2968,0.8345,0.5065,0.6141,190.0000,,1.0875,0.3042,0.8338,0.4352,390.0000,306.0000,0.7544,0.3850,295,98,296,98,485
P11,1.2452,0.3913,0.8937,0.9093,120.0000,222.0000,-0.1600,0.3785,-0.0163,0.5952,360.0000,354.0000,1.2535,0.2132,276,94,286,96,486
P12,0.7061,-0.3584,0.2903,-0.3643,110.0000,162.0000,-0.5410,0.3437,-0.3682,0.1872,344.0000,350.0000,0.3718,0.0102,299,99,291,98,491
P13,0.5348,0.6072,-0.2689,0.9344,234.0000,160.0000,-1.9208,2.6299,-0.4692,1.6778,,356.0000,0.2252,0.2793,286,91,294,99,474
P14,-0.1822,-0.1548,-0.0224,-0.0261,260.0000,226.0000,-0.1732,-0.2415,-0.3893,0.3389,288.0000,320.0000,-0.3594,-0.7574,291,98,296,96,488
P15,-1.2788,-0.5005,-0.7920,-0.1779,186.0000,164.0000,-0.0946,-0.6717,-0.6464,-0.4713,360.0000,276.0000,-1.5475,-0.4145,131,41,251,87,288
P16,-0.5374,1.0521,-0.4298,0.6495,142.0000,,-0.7061,1.2695,-1.1609,1.0122,254.0000,412.0000,0.3866,0.9853,299,100,299,98,498
P17,-0.8133,0.3939,-0.3454,0.2106,176.0000,152.0000,-0.2363,-0.2835,-0.0641,0.7609,392.0000,326.0000,-0.8518,-0.2570,281,96,194,62,448
P18,-0.3152,0.9718,-0.2995,0.9010,186.0000,124.0000,-0.1265,0.4407,-0.2940,0.5133,396.0000,302.0000,,,291,97,284,99,0
P19,-0.1296,0.9364,0.0051,0.8643,210.0000,,0.6504,1.4894,0.0919,0.9871,392.0000,396.0000,0.2075,0.8233,296,99,296,98,485
P20,-1.8810,-0.4991,-1.5932,0.0462,242.0000,204.0000,-0.7100,0.1984,-0.5872,0.1438,464.0000,422.0000,-1.1552,-0.5117,268,85,300,100,500
