participant,block,fz_amp_car_uV,tp9_amp_car_uV,tp10_amp_car_uV,reversal_tp9,reversal_tp10,reversal_either,reversal_both,note
P01,A,-0.1919,1.0423,0.4966,True,True,True,True,
P01,B,-0.8098,1.1173,-0.2345,True,False,True,False,
P02,A,0.1273,-0.5414,0.2178,False,False,False,False,
P02,B,0.3166,0.3267,-1.1975,False,False,False,False,
P03,A,2.1281,-1.3735,-0.9425,False,False,False,False,
P03,B,-0.15,0.3535,-2.7655,True,False,True,False,
P04,A,2.5406,-0.56,-0.943,False,False,False,False,
P05,A,0.1836,-0.4694,1.2384,False,False,False,False,
P06,A,-0.8017,0.1655,0.4341,True,True,True,True,
P06,B,0.3125,-0.2715,-0.9989,False,False,False,False,
P07,A,-0.0421,0.9105,0.8623,True,True,True,True,
P07,B,0.1465,0.9779,0.6947,False,False,False,False,
P08,A,-0.4551,-0.3156,-0.0806,False,False,False,False,
P08,B,1.0862,-0.8369,-0.2703,False,False,False,False,
P09,A,0.1725,0.9019,0.5468,False,False,False,False,
P09,B,0.2296,0.8382,-1.7808,False,False,False,False,
P10,A,0.2968,-0.2498,-0.8408,False,False,False,False,
P10,B,0.8345,0.4851,0.3287,False,False,False,False,
P11,A,1.2452,-0.3218,-0.9625,False,False,False,False,
P11,B,0.3913,-2.2277,-1.4294,False,False,False,False,
P12,A,0.7061,-0.1206,-0.7595,False,False,False,False,
P12,B,-0.3584,-0.9307,0.2681,False,True,True,False,
P13,A,0.5348,0.6428,0.4771,False,False,False,False,
P13,B,0.6072,-0.9907,-1.0469,False,False,False,False,
P14,A,-0.1822,0.9289,-0.0121,True,False,True,False,
P14,B,-0.1548,0.4824,-0.6473,True,False,True,False,
P15,A,-1.2788,1.9283,2.502,True,True,True,True,
P15,B,-0.5005,-1.3567,-0.1672,False,False,False,False,
P16,A,-0.5374,0.7567,0.2166,True,True,True,True,
P16,B,1.0521,-0.6871,0.6282,False,False,False,False,
P17,A,-0.8133,0.2017,-0.2191,True,False,True,False,
P17,B,0.3939,1.0647,0.7443,False,False,False,False,
P18,A,-0.3152,-0.1072,0.0634,False,True,True,False,
P18,B,0.9718,-0.2674,-2.2834,False,False,False,False,
P19,A,-0.1296,-0.3256,-0.6487,False,False,False,False,
P19,B,0.9364,-1.3101,-0.5283,False,False,False,False,
P20,A,-1.881,1.8681,1.4018,True,True,True,True,
P20,B,-0.4991,-0.1157,-0.5198,False,False,False,False,
