participant,block,cond,n_epochs_final,n_channels,n_bad_channels_recorded,bad_channels,n_bridged_pairs,n_ica_removed,pct_rejected,line_noise_ratio_50hz,alpha_power_ratio,n_channels_still_outlying,still_outlying_channels,median_channel_variance,gfp_mean,gfp_peak,gfp_peak_latency_ms
P01,A,std,297,32,5,FT9;TP10;CP6;T8;FT10,0,2,1.0,,1.7063115703636533,1,FT10,1.7625692182130775e-11,2.579651993113985e-07,5.26885467603987e-07,212.0
P01,A,dev,100,32,5,FT9;TP10;CP6;T8;FT10,0,2,0.0,,1.666934424307672,1,FT10,1.8428013015391774e-11,4.297638997578283e-07,7.892327453273262e-07,76.0
P01,B,std,296,32,8,FT9;T7;TP9;O1;TP10;CP6;FT10;Fp2,0,1,1.3,,1.6625600331455754,5,FT9;TP9;TP10;T8;FT10,1.9408815496191097e-11,3.024993808016144e-07,6.005690901763635e-07,98.0
P01,B,dev,99,32,8,FT9;T7;TP9;O1;TP10;CP6;FT10;Fp2,0,1,1.0,,1.6986392749049952,6,FT9;TP9;TP10;T8;FT10;F8,1.9582732986520413e-11,4.881361500236913e-07,1.0649066268651155e-06,402.0
P01,C,std,498,32,1,CP6,0,1,0.4,,1.6570874273011817,3,FT9;T8;F8,2.0366106881451546e-11,2.3973109207141783e-07,6.825350068136382e-07,472.0
P02,A,std,300,32,6,Fp1;F7;TP9;TP10;FT10;Fp2,0,1,0.0,,1.2173224782147056,1,FT10,2.4098759197649412e-11,3.6258719550779086e-07,6.630500273033683e-07,130.0
P02,A,dev,98,32,6,Fp1;F7;TP9;TP10;FT10;Fp2,0,1,2.0,,1.0872594635811819,1,FT10,2.4057632857322462e-11,4.659755060361276e-07,7.796592224988904e-07,8.0
P02,B,std,295,32,8,T8;T7;FT9;Fp2;F7;F8;TP10;TP9,0,1,1.7,,1.2702749046557464,0,,2.274434052787197e-11,3.2265140613980333e-07,7.201290188800522e-07,268.0
P02,B,dev,100,32,8,T8;T7;FT9;Fp2;F7;F8;TP10;TP9,0,1,0.0,,1.376755772780219,0,,2.4841732726772253e-11,5.835292976210269e-07,1.3338485844982958e-06,500.0
P02,C,std,499,32,8,Fp1;T7;F8;Fp2;F7;T8;TP10;FT10,0,1,0.2,,1.2048858237809137,0,,2.33192753495111e-11,2.1741046979222049e-07,3.6587543542941087e-07,202.0
P03,A,dev,67,32,6,Fp1;F7;FT9;F4;F8;Fp2,0,0,33.0,,1.7712546053897094,2,Fp1;Fp2,1.0306596074139943e-10,2.8821651496164107e-06,6.0775586716328214e-06,498.0
P03,A,std,211,32,6,Fp1;F7;FT9;F4;F8;Fp2,0,0,29.7,,1.641614360867457,2,Fp1;Fp2,9.470606348728952e-11,1.5303618246916693e-06,3.4380282445335743e-06,500.0
P03,B,dev,79,32,7,O1;CP6;FC6;Fp1;F4;F8;Fp2,0,2,21.0,,1.7322384349005278,2,Fp1;Fp2,5.8200566291280635e-11,3.6486769383594874e-06,7.89049386171913e-06,488.0
P03,B,std,214,32,7,O1;CP6;FC6;Fp1;F4;F8;Fp2,0,2,28.7,,1.5549330449995673,2,Fp1;Fp2,5.841519568297739e-11,2.3439400291905426e-06,4.6522449971997284e-06,486.0
P03,C,std,428,32,3,Fp1;O1;Fp2,0,2,14.4,,1.8715849353087335,2,Fp1;Fp2,6.241917612654964e-11,1.5179379475657556e-06,3.254785152476737e-06,498.0
P04,A,std,300,32,4,F7;P7;O1;F8,0,2,0.0,,1.3099003150250739,0,,3.15649915303343e-11,3.323462911845724e-07,5.814082096153446e-07,492.0
P04,A,dev,100,32,4,F7;P7;O1;F8,0,2,0.0,,1.3141936138040415,0,,3.216605462633815e-11,7.083503530830573e-07,1.165444431035243e-06,222.0
P04,C,std,497,32,4,F7;T7;T8;F8,0,1,0.6,,1.1641439641376277,0,,3.587711603078862e-11,2.8225756917075804e-07,6.896919748567748e-07,468.0
P05,A,dev,98,32,6,F7;P8;TP10;T8;F8;Fp2,0,2,2.0,,3.6522990677342606,3,FT9;TP10;FT10,3.854948579283878e-11,5.819002152520874e-07,9.942414523498665e-07,238.0
P05,A,std,291,32,6,F7;P8;TP10;T8;F8;Fp2,0,2,3.0,,3.646718162599248,2,FT9;FT10,4.049152746134191e-11,3.741078038134889e-07,6.773700675951648e-07,238.0
P05,C,std,491,32,6,F7;TP9;T8;FT10;F4;Fp2,0,1,1.8,,3.2747605365401267,0,,4.777708392328886e-11,3.195386817485997e-07,6.937495628380345e-07,416.0
P06,A,dev,99,32,3,Fp1;T8;Fp2,0,1,1.0,,1.3089452911345232,0,,2.0127657543738455e-11,3.9811466264896343e-07,9.155240228954092e-07,462.0
P06,A,std,298,32,3,Fp1;T8;Fp2,0,1,0.7,,1.2867544845960108,0,,2.058433312542227e-11,2.358523998666255e-07,4.359958701671506e-07,254.0
P06,B,dev,100,32,7,Fp1;F3;F7;FT9;T8;FT10;Fp2,0,1,0.0,,1.3648099322202865,0,,2.396224159236443e-11,4.474157931866576e-07,6.956923338029694e-07,112.0
P06,B,std,300,32,7,Fp1;F3;F7;FT9;T8;FT10;Fp2,0,1,0.0,,1.2826425653599707,0,,2.545002478721864e-11,2.510929551311678e-07,4.979579820427713e-07,330.0
P06,C,std,480,32,3,Fp1;F7;Fp2,0,2,4.0,,1.5189938840768011,0,,2.4612208936952056e-11,2.3871428390445476e-07,3.8234927428559743e-07,486.0
P07,A,std,299,32,4,Fp1;F7;FC5;Fp2,1,2,0.3,,0.9522441255715888,1,F8,3.639517076176801e-11,3.3421399557655956e-07,6.188368887631079e-07,450.0
P07,A,dev,100,32,4,Fp1;F7;FC5;Fp2,1,2,0.0,,0.9206057662225364,0,,3.535554239677951e-11,6.494530822251105e-07,1.2464015229001534e-06,400.0
P07,B,std,300,32,5,Fp1;F7;FC5;FT10;Fp2,1,1,0.0,,1.1203955217064456,2,FT10;F8,3.6824004001754876e-11,3.50255357894222e-07,6.986836992807989e-07,332.0
P07,B,dev,99,32,5,Fp1;F7;FC5;FT10;Fp2,1,1,1.0,,1.1175879556761006,3,FT9;FT10;F8,4.062105602895159e-11,6.337382373772534e-07,1.336479608079752e-06,492.0
P07,C,std,497,32,6,Fp1;F7;FT9;FC5;FT10;Fp2,1,2,0.6,,0.785908119969672,3,F7;FT9;T7,3.1590964984685855e-11,3.078256253678481e-07,7.819478726498944e-07,500.0
P08,A,dev,99,32,4,Oz;O2;Fz;Cz,0,2,1.0,,3.251348346089799,0,,3.968944717207673e-11,6.569352042881055e-07,1.5402031377146389e-06,394.0
P08,A,std,299,32,4,Oz;O2;Fz;Cz,0,2,0.3,,3.2125563186348263,0,,4.1718065789102555e-11,4.362510283089427e-07,1.1363384904864878e-06,414.0
P08,B,dev,100,32,5,P3;Oz;Fz;CP2;Cz,0,1,0.0,,2.591732489771754,0,,4.422177781011433e-11,7.291527585787144e-07,1.3566879555151645e-06,270.0
P08,B,std,297,32,5,P3;Oz;Fz;CP2;Cz,0,1,1.0,,2.6965715057281456,0,,4.2494967400597274e-11,4.961513180998997e-07,1.2955625062495508e-06,404.0
P08,C,std,498,32,3,Oz;Fz;Cz,0,2,0.4,,2.737558348243343,0,,3.635593821491725e-11,3.6587740011116046e-07,9.835513821838373e-07,412.0
P09,A,std,300,32,5,Fp1;F7;FT10;F8;Fp2,1,2,0.0,,1.1725382124510133,0,,2.41187329491261e-11,2.850160862230822e-07,5.608845544082001e-07,288.0
P09,A,dev,100,32,5,Fp1;F7;FT10;F8;Fp2,1,2,0.0,,1.1681115448655817,0,,2.1084128771573287e-11,4.911921737355435e-07,8.278846031004822e-07,254.0
P09,B,std,299,32,6,Fp1;F7;FT9;FT10;F8;Fp2,1,1,0.3,,1.0780293414123805,4,F7;FT9;FT10;F8,3.2697208004018073e-11,3.432519476555731e-07,6.967349201363843e-07,336.0
P09,B,dev,99,32,6,Fp1;F7;FT9;FT10;F8;Fp2,1,1,1.0,,1.0735873904235107,7,F7;FT9;FC5;T8;FT10;FC6;F8,3.4024042238007556e-11,1.0170635318795928e-06,2.3152200836320327e-06,444.0
