participant,block,signal_band_power_1_30hz,line_power_50hz,line_ratio_50hz_vs_neighbor,line_power_100hz,line_power_150hz,broadband_noise_60_190hz,broadband_vs_signal_ratio,dc_drift_power_0.1_0.5hz,unexplained_narrow_peaks_hz,rms_q1,rms_q2,rms_q3,rms_q4,rms_last_vs_first_ratio
P01,A,9.668333533372365e-13,4.2766894349206064e-13,1.334919910721348,2.725884358141991e-13,1.4869202494011917e-13,2.0275817364938498e-13,0.20971367294014098,1.125382505442722e-10,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;2.7;9.5;9.8,0.015031480560079224,0.015267548134040479,0.015446780125717947,0.015557746635907732,1.0350109274814998
P01,B,9.35684833281134e-13,3.1593878016413876e-13,1.44613580456682,1.8379998505300318e-13,1.1641603878348687e-13,1.3781150346843296e-13,0.1472841052528062,2.8601043345141414e-10,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;9.8,0.015797919745270225,0.015805770282230656,0.01522086867146637,0.01570223093886348,0.9939429489483644
P01,C,8.993570106467029e-13,4.2208991523165913e-13,1.3621980444476804,2.996505092904667e-13,1.6287448912618615e-13,2.1531482965587383e-13,0.23940974174543528,4.624210930254961e-11,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;2.7;2.9;3.2;3.4;3.7;9.5;9.8,0.01581750722867729,0.015812710298313232,0.015808770327565756,0.015804730248045254,0.9991922253963714
P02,A,1.2812494971325167e-12,3.0501920671866793e-12,12.587585242762469,2.217957446498792e-13,6.004451191768769e-14,8.24167461732379e-14,0.06432529055245649,9.711182790636403e-11,,0.014307197065731858,0.014290449953609397,0.014247043147614226,0.01426648549202038,0.9971544689344505
P02,B,1.2583882564681043e-12,3.284756144752238e-12,6.982166501249434,3.7318420239355013e-13,1.4995175712491557e-13,2.3297273228856467e-13,0.18513581248957697,5.000196396390072e-10,0.2;0.5,0.014055871897715117,0.014084848738300753,0.014210268879883935,0.014228536266436885,1.0122841450162787
P02,C,1.3154353097214385e-12,2.9097842372586294e-12,4.017871986500285,5.759079941440712e-13,1.9067178307966515e-13,3.552689631577336e-13,0.2700771071995678,5.433463048633144e-10,0.2;0.5,0.013418785267655083,0.013720914686351554,0.013785743965952878,0.01383930259596351,1.0313379579388644
P03,A,3.625070798102993e-11,9.519478954331385e-13,1.3191877926494777,5.965798395834906e-13,4.4827830909408597e-13,5.104296042560916e-13,0.01408054166895721,5.735687212491453e-09,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;2.7;2.9;3.2;3.4;3.7;3.9;4.2;4.4;4.6;4.9;5.1;5.4;5.6;5.9;6.1;6.3;6.6;6.8,0.007936632695276797,0.007890018140970819,0.007790812409790373,0.007693983778368259,0.9694267170694517
P03,B,3.2981706165494136e-11,7.244737553747684e-13,1.8296731315749828,3.325730197809527e-13,2.820172798011037e-13,2.696054455340452e-13,0.008174393531408928,5.325819554961553e-09,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;2.7;2.9;3.2;3.4;3.7;3.9;4.2;4.4;4.6;4.9;5.1;5.4;5.6;5.9;6.1;6.3;6.6;6.8;7.1,0.008176880372764962,0.008347939987003335,0.008352804656445393,0.008349293650240541,1.021085459199066
P03,C,1.7791766058675998e-11,6.100113425427618e-13,1.5897511145257943,3.0314903729631644e-13,2.662717456831578e-13,2.53535480576681e-13,0.014250158176571047,2.837888264771027e-09,0.2;0.5;0.7;1.0;1.2;1.5;1.7;2.0;2.2;2.4;2.7;2.9;3.2;3.4;3.7;3.9;4.2;4.4;4.6;4.9;5.1;5.4;5.6;5.9;6.1;6.3,0.00820791399532828,0.008246166080715652,0.008170211304529666,0.008117714260019612,0.9890106383473306
P04,A,1.4121760936071057e-12,5.464323167572698e-13,6.972923533574217,3.527172366804018e-14,3.5993457192320814e-14,1.9487175245381345e-14,0.013799394660198128,1.37123810000966e-10,0.2,0.013625682694274855,0.013884416421488587,0.013968575717696156,0.013873013060286828,1.018151777900706
P04,B,2.6329338850897747e-07,5.893214813756802e-08,13.66066787059879,9.889322269605915e-10,5.62509522216377e-11,1.0717145564070356e-10,0.00040704195516496743,0.00012192942790849372,,0.011775705613771352,0.011110920915439484,0.09759110204556512,0.07888254581686777,6.6987532131082554
P04,C,1.3002451347439027e-12,2.803890499091361e-13,3.2508131755514302,3.565020040694463e-14,3.269926553017418e-14,2.3772984519686556e-14,0.018283463544256136,1.3092431590634096e-10,,0.013242538123270505,0.013074043700714182,0.012795007024609834,0.012491260132745215,0.94326782497948
P05,A,2.282786978020531e-12,3.6157162610595206e-13,2.062790492602637,1.158638345084444e-13,1.536024371873885e-13,8.779835913809248e-14,0.03846103906472469,2.3021416540648187e-10,0.5;1.0;1.5,0.013883865329657043,0.013894106509617225,0.013864685988029528,0.01386086167385532,0.9983431375012991
P05,C,2.3830873906171528e-12,5.068225887173145e-13,1.7438223761419585,2.431736319495572e-13,2.0936689756346466e-13,1.827801160046314e-13,0.0766988725316097,1.8654465433298985e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;7.8;8.3;8.8;9.3;9.8;10.3;10.7;11.2,0.01117031191804122,0.011742944037021294,0.012661889379649658,0.013349436488697181,1.195081801353859
P06,A,1.0819522762451877e-12,2.927788206711373e-13,1.749390753731049,1.7493085401498069e-13,1.0396404055450558e-13,1.3395332549311673e-13,0.12380705548121677,2.1361522116732254e-10,0.5;1.0;1.5;2.0;2.4;2.9,0.025034202455393263,0.024777104647978734,0.02451229147910388,0.024218257545524077,0.9674067943117796
P06,B,2.081357560005985e-12,5.045412747555683e-13,1.357278326966993,2.375929855039034e-13,1.3524389662954018e-13,1.9992523498617256e-13,0.09605520878671017,1.596123442918598e-09,0.5;1.0;1.5,0.0252157191052576,0.025478139783273703,0.025442969430431527,0.025295180560687313,1.0031512666800426
P06,C,1.0569951712534535e-12,5.620078536625126e-13,1.50316319265784,3.5689082503938527e-13,3.240668629063902e-13,3.7473697094713614e-13,0.3545304473839258,7.521775165289177e-11,0.5;1.0;1.5;2.0;2.4,0.02371587990603739,0.02351557968367269,0.02330210808372848,0.023075814155281184,0.9730110898987449
P07,A,2.360106785445851e-12,3.657935531753396e-13,1.3286526456483398,2.0085464832574482e-13,1.1332711822092006e-13,1.5244489673721592e-13,0.06459237254742155,1.0196502084035682e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4,0.005509853744910592,0.005407758453919023,0.005306273517745827,0.005210500951440803,0.9456695572461794
P07,B,1.9983397227686512e-12,3.5567397878824644e-13,1.2806900435617181,2.45635235309503e-13,1.5604138791710441e-13,1.7852116804920606e-13,0.08933474424552264,1.0464800347740531e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4;3.9,0.0060212941234177066,0.005909629196252715,0.005775034487758522,0.005644194526781186,0.9373723341017467
P07,C,2.1166149098928917e-12,3.621688791707068e-13,1.12682197847852,2.393455000478929e-13,1.3530797704021793e-13,1.7966078934544223e-13,0.08488118859303212,1.0551492581831003e-10,0.5;1.0;1.5;2.0;2.4;2.9;3.4,0.006508229235787289,0.00641020030035107,0.006297792062291795,0.006153306639711762,0.9454655662520478
P08,A,1.7376003001269389e-12,3.843088699236291e-13,2.9753462184478754,5.93026962229471e-14,4.072174237741129e-13,5.135879576782615e-14,0.029557312901059108,9.129444853180469e-11,0.5,0.010217656711228968,0.010132535356106814,0.010088862013818074,0.010063443764379454,0.9849072100181211
P08,B,1.7755699878537262e-12,3.834172042700392e-13,2.3289769317621003,1.0672901338999622e-13,4.3065413424356527e-13,8.952071660397717e-14,0.05041801630820987,9.932181589674845e-11,0.5;1.0;1.5,0.010580915621625385,0.010529688142465791,0.010501084542133034,0.010463852258327305,0.9889363673727041
P08,C,1.603677477453427e-12,3.139309174560501e-13,3.355553725183299,4.332725879678139e-14,4.3050745278323824e-13,4.372687150894459e-14,0.027266624445197694,8.510180943603226e-11,0.5,0.010424984075403992,0.010393429643499326,0.01036013934290583,0.01032198749315169,0.9901202168264885
P09,A,1.7246808909484219e-12,7.498662870440911e-13,7.728839921401117,4.794762705867761e-14,4.2634461607667416e-13,4.0769993255227174e-14,0.023639151723196333,7.045119392251555e-11,0.5;1.0;1.5,0.00909851515229646,0.00901196144251222,0.008946868355390152,0.008906208494521803,0.9788639514738711
P09,B,2.1283190651425907e-12,1.2782480834360453e-12,11.697192288364965,6.210187295604606e-14,4.530733060443359e-13,5.1463212406066156e-14,0.024180214916515952,1.5666415692957136e-10,0.5;1.0;1.5;2.0;2.4,0.010263843210163498,0.010106539193241898,0.009942997596320589,0.009788687179610667,0.9537058370024282
P09,C,1.745884535572501e-12,8.084580060162472e-13,8.358492694657988,4.9718043889448976e-14,4.557903260961106e-13,4.233915637092534e-14,0.024250834180761967,9.80348452032917e-11,0.5;1.0;1.5,0.009560138285498301,0.009435441698075865,0.009305088012445072,0.009202495682724599,0.962590227035083
